============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-9.0.3, pluggy-1.6.0 -- C:\Users\Visitante\Desktop\Projectos de Github\PatchForge\.venv\Scripts\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\Visitante\Desktop\Projectos de Github\PatchForge
tests/test_issue_schema.py::TestParseIssueMarkdown::test_frontmatter_no_closing_delim PASSED [ 56%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_only_severity PASSED [ 56%]
tests/test_issue_schema.py::TestIssueInputSchema::test_defaults PASSED   [ 57%]
tests/test_issue_schema.py::TestIssueInputSchema::test_rejects_invalid_severity PASSED [ 57%]
tests/test_lifecycle.py::TestClassifyLifecycle::test_stale_when_patch_missing PASSED [ 57%]
tests/test_lifecycle.py::TestClassifyLifecycle::test_stale_when_patch_empty PASSED [ 58%]
tests/test_lifecycle.py::TestClassifyLifecycle::test_stale_when_apply_errors PASSED [ 58%]
tests/test_lifecycle.py::TestClassifyLifecycle::test_conflict_when_apply_fails PASSED [ 58%]
tests/test_lifecycle.py::TestClassifyLifecycle::test_valid_when_head_matches_and_passes PASSED [ 59%]
tests/test_lifecycle.py::TestClassifyLifecycle::test_rebaseable_when_head_differs_and_passes PASSED [ 59%]
tests/test_observability.py::TestLogEvent::test_creates_pipeline_jsonl PASSED [ 59%]
tests/test_observability.py::TestLogEvent::test_schema PASSED            [ 59%]
tests/test_observability.py::TestLogCall::test_backward_compatible_writes_agent_log PASSED [ 60%]
tests/test_observability.py::TestLogCall::test_writes_llm_calls_jsonl PASSED [ 60%]
tests/test_observability.py::TestLogCall::test_without_trace_still_writes_llm_jsonl PASSED [ 60%]
tests/test_observability.py::TestLogCall::test_with_error_sets_level_error PASSED [ 61%]
tests/test_observability.py::TestPipelineObservability::test_trace_id_is_valid_uuid PASSED [ 61%]
tests/test_observability.py::TestPipelineObservability::test_pipeline_logs_pipeline_start PASSED [ 61%]
tests/test_observability.py::TestLogFailure::test_writes_failure_event_to_pipeline_jsonl PASSED [ 62%]
tests/test_observability.py::TestLogFailure::test_schema_contains_error_type_message PASSED [ 62%]
tests/test_observability.py::TestLogFailure::test_accepts_string_error_type PASSED [ 62%]
tests/test_observability.py::TestLogFailure::test_writes_only_to_pipeline_jsonl_not_llm_calls PASSED [ 62%]
tests/test_observability.py::TestPipelineFailureIntegration::test_stage_failure_logs_structured_failure PASSED [ 63%]
tests/test_observability.py::TestPipelineFailureIntegration::test_architect_blockers_logs_structured_failure PASSED [ 63%]
tests/test_observability.py::TestGetFileLogger::test_creates_log_file PASSED [ 63%]
tests/test_observability.py::TestGetFileLogger::test_default_filename_from_name PASSED [ 64%]
tests/test_observability.py::TestGetFileLogger::test_uses_fallback_logs_dir PASSED [ 64%]
tests/test_observability.py::TestGetFileLogger::test_custom_fallback_dir PASSED [ 64%]
tests/test_observability.py::TestGetFileLogger::test_closes_and_replaces_handlers PASSED [ 65%]
tests/test_observability.py::TestGetFileLogger::test_sets_propagate_false PASSED [ 65%]
tests/test_observability.py::TestGetFileLogger::test_custom_formatter PASSED [ 65%]
tests/test_observability.py::TestGetFileLogger::test_default_level_is_debug PASSED [ 65%]
tests/test_pipeline.py::test_successful_run_completed PASSED             [ 66%]
tests/test_pipeline.py::test_pending_review_produces_awaiting_review PASSED [ 66%]
tests/test_pipeline.py::test_validator_failure_produces_validation_failed PASSED [ 66%]
tests/test_pipeline.py::test_validator_skip_does_not_crash PASSED        [ 67%]
tests/test_pipeline.py::test_architect_blockers_produce_failed PASSED    [ 67%]
tests/test_pipeline.py::test_resume_from_scout_output PASSED             [ 67%]
tests/test_pipeline.py::test_resume_from_architect_output PASSED         [ 68%]
tests/test_pipeline.py::test_resume_from_executor_reloads_task_count PASSED [ 68%]
tests/test_pipeline.py::test_failure_artifacts_populated_on_pipeline_abort PASSED [ 68%]
tests/test_pipeline.py::test_guard_no_existing_artifact PASSED           [ 68%]
tests/test_pipeline.py::test_guard_valid_version PASSED                  [ 69%]
tests/test_pipeline.py::test_guard_future_version PASSED                 [ 69%]
tests/test_pipeline.py::test_guard_past_version PASSED                   [ 69%]
tests/test_plan.py::test_defaults PASSED                                 [ 70%]
tests/test_plan.py::test_serialization PASSED                            [ 70%]
tests/test_plan.py::test_status_assignment PASSED                        [ 70%]
tests/test_risk_budget.py::TestCheckPlanGate::test_low_budget_all_low_passes PASSED [ 71%]
tests/test_risk_budget.py::TestCheckPlanGate::test_low_budget_medium_task_blocked PASSED [ 71%]
tests/test_risk_budget.py::TestCheckPlanGate::test_any_budget_high_task_blocked PASSED [ 71%]
tests/test_risk_budget.py::TestCheckPlanGate::test_medium_budget_medium_task_passes PASSED [ 71%]
tests/test_risk_budget.py::TestCheckPlanGate::test_too_many_files_blocked PASSED [ 72%]
tests/test_risk_budget.py::TestCheckPlanGate::test_file_count_within_limit_passes PASSED [ 72%]
tests/test_risk_budget.py::TestCheckPlanGate::test_multiple_violations_collected PASSED [ 72%]
tests/test_risk_budget.py::TestCheckPlanGate::test_empty_plan_passes PASSED [ 73%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_count_diff_lines_normal PASSED [ 73%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_count_diff_lines_new_file PASSED [ 73%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_count_diff_lines_deleted_file PASSED [ 74%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_count_diff_files PASSED [ 74%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_count_diff_files_new_file PASSED [ 74%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_empty_diff PASSED  [ 75%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_ignore_index_line PASSED [ 75%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_no_diff_lines_counts_zero PASSED [ 75%]
tests/test_risk_budget.py::TestCountDiffHelpers::test_multi_hunk_accumulates PASSED [ 75%]
tests/test_risk_budget.py::TestCheckPatchGate::test_within_limits_passes PASSED [ 76%]
tests/test_risk_budget.py::TestCheckPatchGate::test_exceeds_files_blocked PASSED [ 76%]
tests/test_risk_budget.py::TestCheckPatchGate::test_exceeds_diff_lines_blocked PASSED [ 76%]
tests/test_risk_budget.py::TestCheckPatchGate::test_multiple_violations_collected PASSED [ 77%]
tests/test_risk_budget.py::TestCheckPatchGate::test_empty_diff_passes PASSED [ 77%]
tests/test_risk_budget.py::TestPlanGateIntegration::test_plan_blocked_by_high_risk_task PASSED [ 77%]
tests/test_risk_budget.py::TestPlanGateIntegration::test_plan_blocked_by_too_many_files PASSED [ 78%]
tests/test_risk_budget.py::TestPlanGateIntegration::test_plan_passes_with_compliant_task PASSED [ 78%]
tests/test_risk_budget.py::TestPatchGateIntegration::test_preview_blocked_by_oversized_patch PASSED [ 78%]
tests/test_risk_budget.py::TestPatchGateIntegration::test_preview_blocked_by_too_many_files_in_diff PASSED [ 78%]
tests/test_run_metadata.py::test_schema_version_default PASSED           [ 79%]
tests/test_run_metadata.py::test_schema_version_serialization PASSED     [ 79%]
tests/test_run_metadata.py::test_schema_version_backward_compatibility PASSED [ 79%]
tests/test_run_metadata.py::test_schema_version_round_trip PASSED        [ 80%]
tests/test_safety.py::test_validate_filename_rejects_empty PASSED        [ 80%]
tests/test_safety.py::test_validate_filename_rejects_absolute PASSED     [ 80%]
tests/test_safety.py::test_validate_filename_rejects_traversal PASSED    [ 81%]
tests/test_safety.py::test_validate_filename_rejects_null_byte PASSED    [ 81%]
tests/test_safety.py::test_validate_filename_accepts_normal PASSED       [ 81%]
tests/test_safety.py::test_ensure_safe_relative_rejects_empty PASSED     [ 81%]
tests/test_safety.py::test_ensure_safe_relative_rejects_absolute PASSED  [ 82%]
tests/test_safety.py::test_ensure_safe_relative_rejects_traversal PASSED [ 82%]
tests/test_safety.py::test_ensure_safe_relative_accepts_normal PASSED    [ 82%]
tests/test_safety.py::test_ensure_safe_relative_symlink_escape SKIPPED   [ 83%]
tests/test_safety.py::test_ensure_safe_relative_nonexistent_base PASSED  [ 83%]
tests/test_safety.py::test_validate_filename_rejects_windows_absolute PASSED [ 83%]
tests/test_safety.py::test_validate_filename_rejects_windows_traversal PASSED [ 84%]
tests/test_safety.py::test_ensure_safe_relative_rejects_parent_segment PASSED [ 84%]
tests/test_scan.py::test_deterministic_scanner_full_findings PASSED      [ 84%]
tests/test_scan.py::test_scan_cli_creates_findings PASSED                [ 84%]
tests/test_scan.py::test_scan_fails_without_pyproject PASSED             [ 85%]
tests/test_scan.py::test_scan_fails_without_ruff PASSED                  [ 85%]
tests/test_scan.py::test_scan_fails_without_pytest PASSED                [ 85%]
tests/test_scan.py::test_scan_fails_without_test_suite PASSED            [ 86%]
tests/test_scan.py::test_scan_does_not_touch_target PASSED               [ 86%]
tests/test_scan.py::test_hotspots_detected PASSED                        [ 86%]
tests/test_scan.py::test_typescript_no_effect_on_v1 PASSED               [ 87%]
tests/test_scan.py::test_deterministic_scanner_no_api_keys PASSED        [ 87%]
tests/test_scan.py::test_scan_with_empty_repo_no_commits PASSED          [ 87%]
tests/test_scan.py::test_scanner_handles_syntax_error_in_file PASSED     [ 87%]
tests/test_scan.py::test_scan_writes_run_json_on_scanner_failure PASSED  [ 88%]
tests/test_scan.py::test_plan_errors_on_v1_findings PASSED               [ 88%]
tests/test_scan.py::test_scan_default_risk_budget PASSED                 [ 88%]
tests/test_scan.py::test_scan_medium_risk_budget PASSED                  [ 89%]
tests/test_scan.py::test_scan_invalid_risk_budget PASSED                 [ 89%]
tests/test_schemas.py::test_scout_output_rejects_missing_fields PASSED   [ 89%]
tests/test_schemas.py::test_hotspot_rejects_invalid_severity PASSED      [ 90%]
tests/test_scout.py::test_scout_run_returns_tuple PASSED                 [ 90%]
tests/test_scout.py::test_scout_meta_has_required_keys PASSED            [ 90%]
tests/test_v1_commands.py::test_v1_pipeline_flow PASSED                  [ 90%]
tests/test_v1_commands.py::test_apply_failure_triggers_force_reset PASSED [ 91%]
tests/test_v1_commands.py::test_apply_failure_reset_failure_fatal PASSED [ 91%]
tests/test_v1_commands.py::test_post_apply_validation_failure_triggers_rollback PASSED [ 91%]
tests/test_v1_commands.py::test_patch_checksum_mismatch_blocks_apply PASSED [ 92%]
tests/test_v1_commands.py::test_rebaseable_blocks_apply PASSED           [ 92%]
tests/test_v1_commands.py::test_v1_issue_file_flow PASSED                [ 92%]
tests/test_v1_commands.py::test_plan_with_issue_file_not_found PASSED    [ 93%]
tests/test_v1_commands.py::test_plan_issue_file_overrides_findings PASSED [ 93%]
tests/test_validation_workspace.py::test_create_temp_copy_excludes_git PASSED [ 93%]
tests/test_validation_workspace.py::test_create_temp_copy_excludes_venv PASSED [ 93%]
tests/test_validation_workspace.py::test_create_temp_copy_excludes_cache PASSED [ 94%]
tests/test_validation_workspace.py::test_apply_patch_to_copy PASSED      [ 94%]
tests/test_validation_workspace.py::test_apply_patch_does_not_modify_original PASSED [ 94%]
tests/test_validation_workspace.py::test_cleanup_deletes_temp PASSED     [ 95%]
tests/test_validation_workspace.py::test_cleanup_ignores_missing PASSED  [ 95%]
tests/test_validation_workspace.py::test_validation_workspace_context_manager PASSED [ 95%]
tests/test_validator.py::test_validator_run_returns_tuple PASSED         [ 96%]
tests/test_validator.py::test_validator_get_logger_uses_shared_helper PASSED [ 96%]
tests/test_workspace.py::test_create_run_directory PASSED                [ 96%]
tests/test_workspace.py::test_ensure_run_exists PASSED                   [ 96%]
tests/test_workspace.py::test_read_write_artifact PASSED                 [ 97%]
tests/test_workspace.py::test_write_artifact_rejects_traversal PASSED    [ 97%]
tests/test_workspace.py::test_write_artifact_unchecked_rejects_traversal PASSED [ 97%]
tests/test_workspace.py::test_read_artifact_rejects_traversal PASSED     [ 98%]
tests/test_workspace.py::test_read_write_run_json PASSED                 [ 98%]
tests/test_workspace_safety.py::test_default_workspace_is_external_and_stable PASSED [ 98%]
